GID_0,NAME_0,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.12_1,Gurage,ETH.10.12.11_1,Meskan
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.13_1,Hadiya,ETH.10.13.3_1,Gembora
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.13_1,Hadiya,ETH.10.13.4_1,Gibe
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.13_1,Hadiya,ETH.10.13.1_1,Analemmo
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.13_1,Hadiya,ETH.10.13.2_1,Dune
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.13_1,Hadiya,ETH.10.13.7_1,Misha
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.13_1,Hadiya,ETH.10.13.8_1,Misrak Badawacho
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.13_1,Hadiya,ETH.10.13.5_1,Limu
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.13_1,Hadiya,ETH.10.13.6_1,Mierab Badawacho
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.11_1,Chuko
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.12_1,Dale
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.9_1,Bursa
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.10_1,Chire
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.15_1,Hulla
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.16_1,Loka Abaya
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.13_1,Dara
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.14_1,Gorche
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.19_1,Wondo-Genet
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.20_1,Wonosho
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.17_1,Malga
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.18_1,Shebe Dino
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.20_1,Silti,ETH.10.20.3_1,Lanfero
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.20_1,Silti,ETH.10.20.4_1,Mierab Azenet Berbere
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.20_1,Silti,ETH.10.20.1_1,Alicho Woriro
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.20_1,Silti,ETH.10.20.2_1,Dalocha
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.15_1,Kembata Tembaro,ETH.10.15.7_1,Tembaro
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.16_1,Konso,ETH.10.16.1_1,Konso
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.15_1,Kembata Tembaro,ETH.10.15.5_1,Kacha Bira
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.15_1,Kembata Tembaro,ETH.10.15.6_1,Kediada Gambela
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.18_1,Sheka,ETH.10.18.2_1,Masha
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.18_1,Sheka,ETH.10.18.3_1,Yeki
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.17_1,Konta,ETH.10.17.1_1,Konta
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.18_1,Sheka,ETH.10.18.1_1,Anderacha
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.3_1,Aroresa
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.4_1,Awasa
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.1_1,Aleta Wendo
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.2_1,Arbe Gonna
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.7_1,Bona Zuria
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.8_1,Boricha
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.5_1,Awasa Zuria
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.19_1,Sidama,ETH.10.19.6_1,Bensa
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Debubawi,ETH.11.1.2_1,Alamata
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Debubawi,ETH.11.1.3_1,Endamehoni
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.22_1,Yem,ETH.10.22.1_1,Yem
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Debubawi,ETH.11.1.1_1,Alaje
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Debubawi,ETH.11.1.6_1,Ofla
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Debubawi,ETH.11.1.7_1,Raya Azebo
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Debubawi,ETH.11.1.4_1,Enderta
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Debubawi,ETH.11.1.5_1,Hintalo Wejirat
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.2_1,Mehakelegnaw,ETH.11.2.2_1,Ahferom
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.2_1,Mehakelegnaw,ETH.11.2.3_1,Degua Temben
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.1_1,Debubawi,ETH.11.1.8_1,Saharti Samre
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.2_1,Mehakelegnaw,ETH.11.2.1_1,Adwa
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.2_1,Mehakelegnaw,ETH.11.2.6_1,Mereb Leke
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.2_1,Mehakelegnaw,ETH.11.2.7_1,Naeder Adet
ETH,Ethiopia,ETH.11_1,Tigray,ETH.11.2_1,Mehakelegnaw,ETH.11.2.4_1,Kola Temben
